-395	169
313	257
815	-465
178	553
236	-250
939	540
285	873
-417	631
-45	-22
982	-474
-430	-715
-546	-389
-370	-704
-164	691
708	-354
275	828
-942	279
815	467
-792	782
197	670
572	-635
-609	-140
-115	125
683	194
-395	102
825	223
802	-933
-57	376
-493	-661
206	-522
23	-347
464	-906
864	693
587	710
-475	601
719	743
578	209
918	-773
109	-225
-331	942
553	-450
86	226
766	-718
-653	290
-975	514
-974	27
590	486
187	242
108	-824
-310	512
-823	-73
425	52
-302	-842
-221	684
768	779
679	-412
-184	422
-165	-464
267	-691
-345	126
75	886
-643	998
79	-986
-513	-398
-84	188
907	559
127	579
-594	992
551	-106
454	636
-746	-152
-521	-915
-555	-151
763	-603
466	-326
-30	494
-318	-623
-924	-681
-548	244
481	35
-152	999
538	-436
-775	-701
-989	-725
837	449
-755	-683
-893	204
-649	611
860	444
-475	-944
-930	569
821	788
545	884
-745	-26
-637	-702
526	913
-756	194
70	652
448	-453
169	-655
