642	547
-219	77
-692	266
826	143
-688	-959
-841	611
443	-639
86	-702
-147	627
-35	-870
-496	-225
235	290
104	-532
892	530
-589	-966
-94	360
-346	-887
853	323
98	-170
396	836
782	-76
-44	796
665	-579
614	950
216	-901
440	628
415	116
-791	-147
-906	604
-879	-971
-691	171
607	619
-154	651
-436	480
-979	170
917	583
898	76
634	-526
5	-973
853	103
-465	386
-321	-580
-621	-354
481	852
-130	158
-801	-556
-322	506
-707	-305
896	619
83	756
896	-572
-1000	-367
304	-49
545	-339
520	236
841	-64
-478	-58
374	-477
447	-859
396	763
-768	-462
702	983
-621	-818
93	534
738	51
-679	989
5	813
385	916
467	-253
39	582
384	537
467	179
-640	-166
-147	-791
-124	955
492	84
-941	787
-691	814
-674	-647
-626	625
229	-312
-616	185
503	406
-227	-506
680	-18
252	-517
678	-605
-950	-122
-879	-735
-4	-752
-311	-476
-627	499
-594	344
337	-18
816	-59
582	-795
-586	-140
664	428
365	221
236	438
