-383	638
-589	399
938	-766
205	-625
862	-219
-258	-375
-319	817
-18	922
100	-816
596	-304
539	927
569	27
-26	-632
478	907
430	-199
-613	-462
423	-922
923	-776
-26	-313
-518	-528
-77	329
256	-28
810	-257
-763	57
-783	-196
-909	821
997	-90
986	215
24	950
80	-667
21	341
752	-18
423	293
666	260
896	625
43	719
209	-579
481	-184
747	912
-941	-948
-604	250
-791	763
-408	276
-418	418
94	-778
660	-597
729	486
499	374
762	875
748	-650
886	-817
64	-882
-984	180
314	108
663	880
541	-733
-593	331
656	735
-543	-402
301	852
975	939
-821	-984
406	538
-372	316
330	770
-875	610
291	803
-925	-291
-538	-968
19	159
775	821
-709	945
-14	-637
838	-603
230	137
51	850
-759	-113
813	320
-441	987
883	-708
646	743
307	-576
39	410
-255	650
-421	597
-802	470
406	-675
-900	461
-367	106
-36	280
181	409
-28	598
140	342
297	243
458	-126
-181	957
393	-928
51	-997
321	381
-742	-433
