137	-137
-795	-546
-629	371
805	-194
-281	-266
-774	-46
-474	-78
821	-781
904	-933
149	-793
-123	-94
-354	236
-56	395
207	656
392	435
738	-819
-718	-105
-143	-720
713	-206
71	56
-34	-32
-874	433
203	338
425	-228
331	-896
257	-358
913	-315
-163	-408
684	-258
376	-389
-248	-463
-490	-254
251	-113
-157	-837
-857	-247
303	620
282	660
-168	-712
-782	-721
-476	155
-564	936
-102	-512
207	-18
809	456
-649	764
559	-698
424	934
530	-374
838	-546
970	-596
-255	543
-180	41
-379	176
321	-533
-260	-179
972	-39
173	-866
777	288
-586	-216
-698	-412
19	994
-529	-81
489	660
235	966
-574	-582
-791	950
-441	-861
-764	-864
-638	-709
82	813
-47	-571
51	15
513	-611
-151	130
-607	724
-427	-737
913	-324
-375	423
55	-540
-656	420
182	64
-709	-395
-606	-574
915	-759
145	-742
397	-47
824	-693
-811	666
-163	-871
354	-645
830	285
-5	-954
166	-661
-240	-352
-695	108
677	-829
154	283
-258	360
-6	696
-86	191
